Epoch 81 : (Loss: 0.695874041060796, Correctness: 0.6140065146579805) 
Epoch 82 : (Loss: 0.7510061608902627, Correctness: 0.6351791530944625) 
Epoch 83 : (Loss: 0.6957554346487742, Correctness: 0.6140065146579805) 
Epoch 84 : (Loss: 0.750866604486949, Correctness: 0.6351791530944625) 
Epoch 85 : (Loss: 0.6956439104003267, Correctness: 0.6140065146579805) 
Epoch 86 : (Loss: 0.7507352409379281, Correctness: 0.6351791530944625) 
Epoch 87 : (Loss: 0.6955388811673855, Correctness: 0.6140065146579805) 
Epoch 88 : (Loss: 0.7506113977165683, Correctness: 0.6351791530944625) 
Epoch 89 : (Loss: 0.6954398145062032, Correctness: 0.6140065146579805) 
Epoch 90 : (Loss: 0.7504944643888045, Correctness: 0.6351791530944625) 
Epoch 91 : (Loss: 0.6953462271751845, Correctness: 0.6140065146579805) 
Epoch 92 : (Loss: 0.7503838864279662, Correctness: 0.6351791530944625) 
Epoch 93 : (Loss: 0.6952576802241553, Correctness: 0.6140065146579805) 
Epoch 94 : (Loss: 0.7502791596876418, Correctness: 0.6351791530944625) 
Epoch 95 : (Loss: 0.6951737746072004, Correctness: 0.6140065146579805) 
Epoch 96 : (Loss: 0.7501798254578, Correctness: 0.6351791530944625) 
Epoch 97 : (Loss: 0.6950941472595119, Correctness: 0.6140065146579805) 
Epoch 98 : (Loss: 0.7500854660385142, Correctness: 0.6351791530944625) 
Epoch 99 : (Loss: 0.6950184675859024, Correctness: 0.6140065146579805) 
Epoch 100 : (Loss: 0.7499957007735003, Correctness: 0.6351791530944625) 
Epoch 101 : (Loss: 0.6949464343149616, Correctness: 0.6140065146579805) 
Epoch 102 : (Loss: 0.749910182492587, Correctness: 0.6351791530944625) 
Epoch 103 : (Loss: 0.6948777726782966, Correctness: 0.6140065146579805) 
Epoch 104 : (Loss: 0.7498285943182217, Correctness: 0.6351791530944625) 
Epoch 105 : (Loss: 0.694812231879101, Correctness: 0.6140065146579805) 
Epoch 106 : (Loss: 0.7497506467964088, Correctness: 0.6351791530944625) 
Epoch 107 : (Loss: 0.6947495828184939, Correctness: 0.6156351791530945) 
Epoch 108 : (Loss: 0.7496760753170313, Correctness: 0.6351791530944625) 
Epoch 109 : (Loss: 0.6946896160517116, Correctness: 0.6156351791530945) 
Epoch 110 : (Loss: 0.7496046377925549, Correctness: 0.6351791530944625) 
Epoch 111 : (Loss: 0.6946321399494875, Correctness: 0.6156351791530945) 
Epoch 112 : (Loss: 0.7495361125676644, Correctness: 0.6351791530944625) 
Epoch 113 : (Loss: 0.6945769790427386, Correctness: 0.6172638436482085) 
Epoch 114 : (Loss: 0.7494702965354539, Correctness: 0.6351791530944625) 
Epoch 115 : (Loss: 0.694523972531178, Correctness: 0.6172638436482085) 
Epoch 116 : (Loss: 0.749407003438549, Correctness: 0.6351791530944625) 
Epoch 117 : (Loss: 0.6944729729386455, Correctness: 0.6172638436482085) 
Epoch 118 : (Loss: 0.7493460623359345, Correctness: 0.6351791530944625) 
Epoch 119 : (Loss: 0.6944238448998494, Correctness: 0.6172638436482085) 
Epoch 120 : (Loss: 0.7492873162183749, Correctness: 0.6351791530944625) 
Epoch 121 : (Loss: 0.6943764640649353, Correctness: 0.6172638436482085) 
Epoch 122 : (Loss: 0.7492306207572239, Correctness: 0.6351791530944625) 
Epoch 123 : (Loss: 0.6943307161097602, Correctness: 0.6172638436482085) 
Epoch 124 : (Loss: 0.7491758431729862, Correctness: 0.6351791530944625) 
Epoch 125 : (Loss: 0.6942864958410899, Correctness: 0.6172638436482085) 
Epoch 126 : (Loss: 0.7491228612115866, Correctness: 0.6351791530944625) 
Epoch 127 : (Loss: 0.6942437063870931, Correctness: 0.6172638436482085) 
Epoch 128 : (Loss: 0.7490715622174678, Correctness: 0.6351791530944625) 
Epoch 129 : (Loss: 0.6942022584645254, Correctness: 0.6172638436482085) 
Epoch 130 : (Loss: 0.7490218422938726, Correctness: 0.6351791530944625) 
Epoch 131 : (Loss: 0.6941620697149414, Correctness: 0.6172638436482085) 
Epoch 132 : (Loss: 0.748973605541658, Correctness: 0.6351791530944625) 
Epoch 133 : (Loss: 0.6941230641030712, Correctness: 0.6156351791530945) 
Epoch 134 : (Loss: 0.7489267633688899, Correctness: 0.6351791530944625) 
Epoch 135 : (Loss: 0.6940851713711927, Correctness: 0.6188925081433225) 
Epoch 136 : (Loss: 0.7488812338642665, Correctness: 0.6351791530944625) 
Epoch 137 : (Loss: 0.6940483265440278, Correctness: 0.6188925081433225) 
Epoch 138 : (Loss: 0.7488369412281789, Correctness: 0.6351791530944625) 
Epoch 139 : (Loss: 0.6940124694791865, Correctness: 0.6221498371335505) 
Epoch 140 : (Loss: 0.7487938152557762, Correctness: 0.6351791530944625) 
Epoch 141 : (Loss: 0.6939775444587784, Correctness: 0.6221498371335505) 
Epoch 142 : (Loss: 0.7487517908670653, Correctness: 0.6351791530944625) 
Epoch 143 : (Loss: 0.6939434998181808, Correctness: 0.6221498371335505) 
Epoch 144 : (Loss: 0.7487108076795058, Correctness: 0.6351791530944625) 
Epoch 145 : (Loss: 0.6939102876084043, Correctness: 0.6221498371335505) 
Epoch 146 : (Loss: 0.748670809619059, Correctness: 0.6351791530944625) 
Epoch 147 : (Loss: 0.693877863288857, Correctness: 0.6221498371335505) 
